"OBJECTID_1","GEOID","STATE","STUSAB","STATE_NAME","COUNTY","NAME","Occupancy_Status(Total_Housing_units)","Occupancy_Status(Occupied_housing_units)","Occupancy_Status(Vacant)","Tenure_By_Household_Size(Owner_Occupied)","Tenure_By_Household_Size(Owner_Occupied_1Person_Household)","Tenure_By_Household_Size(Owner_Occupied_2Person_Household)","Tenure_By_Household_Size(Owner_Occupied_3Person_Household)","Tenure_By_Household_Size(Owner_Occupied_4Person_Household)","Tenure_By_Household_Size(Owner_Occupied_5Person_Household)","Tenure_By_Household_Size(Owner_Occupied_6ormore_Person_Household)","Tenure_By_Household_Size(Renter_Occupied)","Tenure_By_Household_Size(Renter_Occupied_1Person_Household)","Tenure_By_Household_Size(Renter_Occupied_2Person_Household)","Tenure_By_Household_Size(Renter_Occupied_3Person_Household)","Tenure_By_Household_Size(Renter_Occupied_4Person_Household)","Tenure_By_Household_Size(Renter_Occupied_5Person_Household)","Tenure_By_Household_Size(Renter_Occupied_6ormore_Person_Household)","Tenure_By_Household_Size(Total_1Person_Household)","Tenure_By_Household_Size(Total_2Person_Household)","Tenure_By_Household_Size(Total_3Person_Household)","Tenure_By_Household_Size(Total_4Person_Household)","Tenure_By_Household_Size(Total_5Person_Household)","Tenure_By_Household_Size(Total_6Person_Household)","Median_Year_Structure_Built_By_Tenure(Median_Year_Structure_Built_for_Renter_Occupied_Units)","Bedrooms(No_bedroom)","Bedrooms(1_bedroom)","Bedrooms(2_bedrooms)","Bedrooms(3_or_more_bedrooms)","Median_Number_Of_Rooms_By_Tenure(Median_number_of_rooms)","Median_Number_Of_Rooms_By_Tenure(Median_number_of_rooms__Owner_occupied)","Median_Number_Of_Rooms_By_Tenure(Median_number_of_rooms__Renter_occupied)","Units_In_Structure(1unit_detached_structure)","Units_In_Structure(1unit_attached_structure)","Units_In_Structure(2_to_4_units)","Units_In_Structure(5_to_19_units)","Units_In_Structure(20_or_more_units)","Units_In_Structure(Mobile_home_Boat_RV_van_et)","Owner_Tenure_By_Units_In_Structure(Owneroccupied_housing_units)","Owner_Tenure_By_Units_In_Structure(1_detached)","Owner_Tenure_By_Units_In_Structure(1_attached)","Owner_Tenure_By_Units_In_Structure(2_to_4)","Owner_Tenure_By_Units_In_Structure(5_to_19)","Owner_Tenure_By_Units_In_Structure(20_or_more_units)","Owner_Tenure_By_Units_In_Structure(Mobile_home_Boat_RV_van_et)","Renter_Tenure_By_Units_In_Structure(Renteroccupied_housing_units)","Renter_Tenure_By_Units_In_Structure(1_detached)","Renter_Tenure_By_Units_In_Structure(1_attached)","Renter_Tenure_By_Units_In_Structure(2_to_4)","Renter_Tenure_By_Units_In_Structure(5_to_19)","Renter_Tenure_By_Units_In_Structure(20_or_more_units)","Renter_Tenure_By_Units_In_Structure(Mobile_home_Boat_RV_van_et)","Owner_Tenure_By_Year_Structure_Built(Owner_occupied_housing_units_Built_2000_or_later)","Owner_Tenure_By_Year_Structure_Built(Owner_occupied_housing_units_Built_1980_to_1999)","Owner_Tenure_By_Year_Structure_Built(Owner_occupied_housing_units_Built_1950_to_1979)","Owner_Tenure_By_Year_Structure_Built(Owner_occupied_housing_units_Built_1949_or_earlier)","Renter_Tenure_By_Year_Structure_Built(Renter_occupied_housing_units_Built_2000_or_later)","Renter_Tenure_By_Year_Structure_Built(Renter_occupied_housing_units_Built_1980_to_1999)","Renter_Tenure_By_Year_Structure_Built(Renter_occupied_housing_units_Built_1950_to_1979)","Renter_Tenure_By_Year_Structure_Built(Renter_occupied_housing_units_Built_1949_or_earlier)","Renter_Tenure_By_Year_Structure_Built(Renter_occupied_housing_units_Built_before_1980)","Housing_units_Built_2000_or_later","Owner_occupied_housing_units_Built_1980_to_1999","Owner_occupied_housing_units_Built_1950_to_1979","Owner_occupied_housing_units_Built_1949_or_earlier","Contract_Rent(With_cash_rent_less_than_499)","Contract_Rent(500_to_599)","Contract_Rent(600_to_699)","Contract_Rent(700_to_799)","Contract_Rent(800_to_899)","Contract_Rent(900_to_999)","Contract_Rent(1000_to_1249)","Contract_Rent(1250_to_1499)","Contract_Rent(1500_to_1999)","Contract_Rent(2000_or_more)","Contract_Rent(No_cash_rent)","Tenure_By_Bedrooms(Owner_occupied_housing_units_with_No_bedroom)","Tenure_By_Bedrooms(Owner_occupied_housing_units_with_1_bedroom)","Tenure_By_Bedrooms(Owner_occupied_housing_units_with_2_bedrooms)","Tenure_By_Bedrooms(Owner_occupied_housing_units_with_3_or_more_bedrooms)","Tenure_By_Bedrooms(Renter_occupied_housing_units_with_No_bedroom)","Tenure_By_Bedrooms(Renter_occupied_housing_units_with_1_bedroom)","Tenure_By_Bedrooms(Renter_occupied_housing_units_with_2_bedrooms)","Tenure_By_Bedrooms(Renter_occupied_housing_units_with_3_or_more_bedrooms)","Median_value__Owneroccupied_housing_units","Median_value_for_units_with_a_mortgage","Median_value_for_units_without_a_mortgage","Tenure_By_Selected_Physical_And_Financial_Conditions(Owner_occupied_With_one_selected_condition)","Tenure_By_Selected_Physical_And_Financial_Conditions(Owner_occupied_With_two_selected_conditions)","Tenure_By_Selected_Physical_And_Financial_Conditions(Owner_occupied_With_three_selected_conditions)","Tenure_By_Selected_Physical_And_Financial_Conditions(Owner_occupied_With_four_selected_conditions)","Tenure_By_Selected_Physical_And_Financial_Conditions(Owner_occupied_No_selected_conditions)","Tenure_By_Selected_Physical_And_Financial_Conditions(Renter_occupied_With_one_selected_condition)","Tenure_By_Selected_Physical_And_Financial_Conditions(Renter_occupied_With_two_selected_conditions)","Tenure_By_Selected_Physical_And_Financial_Conditions(Renter_occupied_With_three_selected_conditions)","Tenure_By_Selected_Physical_And_Financial_Conditions(Renter_occupied_With_four_selected_conditions)","Tenure_By_Selected_Physical_And_Financial_Conditions(Renter_occupied_No_selected_conditions)","Shape__Area","Shape__Length"
1,2063,2,"AK","Alaska",63,"Chugach",3287,2310,977,1690,416,738,185,212,67,72,620,203,145,120,86,3,63,619,883,305,298,70,135,1982,280,357,867,1783,5.3,5.9,4.2,1692,107,560,98,188,642,1690,982,85,123,3,28,469,620,152,14,310,46,45,53,123,773,704,90,41,308,264,7,271,164,1081,968,97,42,2,3,46,58,5,217,28,110,6,103,46,98,351,1195,9,129,223,259,234300,267200,140800,187,0,23,0,1480,212,45,1,0,362,104811974184,11353521.915246
2,2066,2,"AK","Alaska",66,"Copper River",2902,1063,1839,807,170,343,50,166,60,18,256,96,86,30,35,9,0,266,429,80,201,69,18,1988,716,566,592,1028,4.4,4.6,4,2520,23,93,60,0,206,807,782,0,0,0,0,25,256,136,5,51,43,0,21,272,350,158,27,43,159,49,5,54,315,509,207,32,92,17,23,8,20,4,29,32,0,0,31,36,147,196,428,12,77,58,109,234500,225500,250200,173,39,0,0,595,73,11,6,0,166,292521786419.422,3013517.56214652
3,2068,2,"AK","Alaska",68,"Denali",1664,726,938,602,260,192,60,56,25,9,124,70,43,11,0,0,0,330,235,71,56,25,9,1986,461,329,332,542,4.5,4.8,2.5,1379,21,65,58,12,129,602,555,0,12,0,0,35,124,93,0,7,19,0,5,149,309,133,11,23,53,41,7,48,172,362,174,18,41,8,9,7,6,0,14,20,0,0,19,37,103,132,330,40,32,20,32,233700,262200,182700,118,55,2,0,427,55,22,0,7,40,166137411403.766,2084187.85833541
4,2070,2,"AK","Alaska",70,"Dillingham",2462,1430,1032,864,127,215,140,129,95,158,566,182,140,63,65,50,66,309,355,203,194,145,224,1985,281,456,596,1129,4,4.3,3.4,2020,27,193,187,0,35,864,842,2,6,0,0,14,566,306,11,129,113,0,7,122,416,285,41,129,243,185,9,194,251,659,470,50,108,34,25,24,32,19,70,53,34,2,165,10,76,188,590,26,146,173,221,156000,278300,98300,327,102,23,0,412,220,51,8,0,287,193454683589.953,3421842.48625077
5,2090,2,"AK","Alaska",90,"Fairbanks North Star",44270,36199,8071,21315,4609,7768,3470,3104,1268,1096,14884,4464,5141,2590,1467,823,399,9073,12909,6060,4571,2091,1495,1986,3136,7177,11412,22545,5,5.7,4.1,27146,3459,6391,3190,2335,1749,21315,18060,697,1175,428,353,602,14884,4407,2387,3899,2120,1658,413,4599,9070,7079,567,3938,5585,4981,380,5361,8537,14655,12060,947,1081,886,672,532,631,1524,2482,1501,2722,2123,730,547,1283,4755,14730,1038,3784,4599,5463,240300,246000,228800,4437,426,335,7,16110,6094,845,528,16,7401,105839844586.469,1883222.35792897
6,2100,2,"AK","Alaska",100,"Haines",1692,917,775,555,100,260,66,43,55,31,362,225,32,56,30,0,19,325,292,122,73,55,50,1990,158,425,510,599,4.7,5.2,4.3,1451,20,57,52,0,112,555,498,2,22,2,0,31,362,263,1,28,42,0,28,200,239,92,24,0,248,54,60,114,200,487,146,84,64,92,23,5,34,4,46,0,24,0,70,22,35,153,345,28,144,101,89,263900,263400,268800,177,47,0,0,331,147,28,0,0,187,23364785013.3359,1866178.85198388
7,2105,2,"AK","Alaska",105,"Hoonah-Angoon",1623,755,868,553,180,242,75,16,19,21,202,79,44,31,14,21,13,259,286,106,30,40,34,1979,158,354,452,659,4.9,5.2,4.3,1358,14,127,33,0,91,553,507,8,18,0,0,20,202,117,4,47,13,0,21,90,224,181,58,25,72,81,24,105,115,296,262,82,41,8,0,21,15,15,24,7,0,0,71,10,71,127,345,11,35,46,110,221600,252800,208500,102,19,5,0,427,62,11,3,0,126,60889456752.8672,8098007.69698417
8,2110,2,"AK","Alaska",110,"Juneau",13792,12878,914,8319,2113,3002,1289,1199,472,244,4559,2006,1265,545,503,121,119,4119,4267,1834,1702,593,363,1982,538,2017,3922,7315,4.9,5.7,3.9,6431,1781,1530,1841,1246,963,8319,5170,1144,319,577,339,770,4559,861,559,1023,1081,850,185,882,3396,3438,603,1035,1396,1742,386,2128,1917,4792,5180,989,549,67,196,153,215,242,1115,649,842,386,145,84,490,1928,5817,332,1402,1638,1187,355100,360700,343400,1851,22,18,0,6428,1670,127,0,0,2762,26062930229.2266,1855188.28119503
9,2122,2,"AK","Alaska",122,"Kenai Peninsula",31330,21781,9549,16409,4607,6648,2121,1666,677,690,5372,2075,1391,654,470,513,269,6682,8039,2775,2136,1190,959,1985,2676,4846,8242,15566,5,5.3,3.8,25428,521,2126,1195,405,1655,16409,15192,169,306,69,29,644,5372,2338,160,1377,905,302,290,4684,7063,4423,239,1075,2284,1898,115,2013,5759,9347,6321,354,634,235,394,387,719,520,942,513,253,141,634,393,1529,3613,10874,324,1076,2214,1758,245400,252000,232600,3540,495,133,0,12241,2073,288,10,0,3001,171198275746.992,7733965.18116808
10,2130,2,"AK","Alaska",130,"Ketchikan Gateway",6427,5299,1128,3385,687,1384,556,410,179,169,1914,698,584,295,180,94,63,1385,1968,851,590,273,232,1974,387,906,1986,3148,5,5.9,3.8,3387,301,1405,496,582,256,3385,2563,149,264,98,137,174,1914,357,114,768,302,335,38,390,1145,1451,399,229,453,870,362,1232,619,1598,2321,761,160,91,106,96,242,201,353,287,205,59,114,14,185,824,2362,167,443,804,500,299500,309700,283500,838,15,0,0,2532,879,107,11,0,917,39159637933.9297,5208795.24674368
11,2150,2,"AK","Alaska",150,"Kodiak Island",5450,4231,1219,2102,404,734,257,313,220,174,2129,687,410,358,353,222,99,1091,1144,615,666,442,273,1985,186,695,1519,3050,5,5.5,4.2,3113,462,877,459,276,263,2102,1720,182,102,0,0,98,2129,624,262,578,337,201,127,378,819,785,120,364,989,676,100,776,742,1808,1461,220,212,32,112,44,36,76,237,293,337,287,463,20,81,302,1699,82,393,800,854,295100,304100,267000,506,3,0,0,1593,894,61,0,0,1174,61213424431.0625,9543409.35524465
